"iban","amount","currency","cdtDbtInd","status","bookingDate","counterparty","code","subcode","balanceamount","balancecurrency","balancecdtDbtInd","type"
"IE83ULSB98601000000000","375","EUR","DBIT","INTERIMBOOKED","2006-10-09T00:00:00Z","98501013527098EUR","1855","","169843.51","","CRDT",""
"IE83ULSB98601000000000","6.35","EUR","DBIT","INTERIMBOOKED","2006-10-09T00:00:00Z","98501013527098EUR","1855","","169837.16","","CRDT",""
"IE83ULSB98601000000000","375","EUR","DBIT","INTERIMBOOKED","2006-10-09T00:00:00Z","98501013527098EUR","1855","","169843.51","","CRDT",""
"IE83ULSB98601000000000","6.35","EUR","DBIT","INTERIMBOOKED","2006-10-09T00:00:00Z","98501013527098EUR","1855","","169837.16","","CRDT",""
"IE83ULSB98601000000000","25000","EUR","CRDT","INTERIMBOOKED","2006-10-12T00:00:00Z","98501013527098EUR","1855","","194837.16","","CRDT",""
"IE83ULSB98601000000000","60000","EUR","DBIT","INTERIMBOOKED","2006-10-13T00:00:00Z","98501013527098EUR","1855","","134837.16","","CRDT",""
"IE83ULSB98601000000000","400","EUR","DBIT","INTERIMBOOKED","2006-10-13T00:00:00Z","98501013527098EUR","1855","","134437.16","","CRDT",""
"IE83ULSB98601000000000","4600.51","EUR","DBIT","INTERIMBOOKED","2006-10-17T00:00:00Z","98501013527098EUR","1855","","129836.65","","CRDT",""
"IE83ULSB98601000000000","10000.51","EUR","DBIT","INTERIMBOOKED","2006-10-17T00:00:00Z","98501013527098EUR","1855","","119836.14","","CRDT",""
"IE83ULSB98601000000000","270","EUR","DBIT","INTERIMBOOKED","2006-10-18T00:00:00Z","98501013527098EUR","1855","","119566.14","","CRDT",""
"IE83ULSB98601000000000","2020.92","EUR","DBIT","INTERIMBOOKED","2006-10-20T00:00:00Z","98501013527098EUR","1855","","117545.22","","CRDT",""
"IE83ULSB98601000000000","48.61","EUR","DBIT","INTERIMBOOKED","2006-10-23T00:00:00Z","98501013527098EUR","1855","","117496.61","","CRDT",""
"IE83ULSB98601000000000","300","EUR","DBIT","INTERIMBOOKED","2006-10-23T00:00:00Z","98501013527098EUR","1855","","117196.61","","CRDT",""
"IE83ULSB98601000000000","40","EUR","DBIT","INTERIMBOOKED","2006-10-23T00:00:00Z","98501013527098EUR","1855","","117156.61","","CRDT",""
"IE83ULSB98601000000000","10606.71","EUR","CRDT","INTERIMBOOKED","2006-10-24T00:00:00Z","98501013527098EUR","1855","","127763.32","","CRDT",""
"IE83ULSB98601000000000","57.6","EUR","DBIT","INTERIMBOOKED","2006-10-24T00:00:00Z","98501013527098EUR","1855","","127705.72","","CRDT",""
"IE83ULSB98601000000000","71.6","EUR","DBIT","INTERIMBOOKED","2006-10-24T00:00:00Z","98501013527098EUR","1855","","127634.12","","CRDT",""
"IE83ULSB98601000000000","6407.24","EUR","DBIT","INTERIMBOOKED","2006-10-25T00:00:00Z","98501013527098EUR","1855","","121226.88","","CRDT",""
"IE83ULSB98601000000000","10000.51","EUR","DBIT","INTERIMBOOKED","2006-10-25T00:00:00Z","98501013527098EUR","1855","","111226.37","","CRDT",""
"IE83ULSB98601000000000","7.15","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","111219.22","","CRDT",""
"IE83ULSB98601000000000","400","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","110819.22","","CRDT",""
"IE83ULSB98601000000000","150","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","110669.22","","CRDT",""
"IE83ULSB98601000000000","129.55","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","110539.67","","CRDT",""
"IE83ULSB98601000000000","848.04","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","109691.63","","CRDT",""
"IE83ULSB98601000000000","962.64","EUR","DBIT","INTERIMBOOKED","2006-10-31T00:00:00Z","98501013527098EUR","1855","","108728.99","","CRDT",""
"IE83ULSB98601000000000","3785.47","EUR","DBIT","INTERIMBOOKED","2006-11-01T00:00:00Z","98501013527098EUR","1855","","104943.52","","CRDT",""
"IE83ULSB98601000000000","70.1","EUR","DBIT","INTERIMBOOKED","2006-11-01T00:00:00Z","98501013527098EUR","1855","","104873.42","","CRDT",""
"IE83ULSB98601000000000","450","EUR","DBIT","INTERIMBOOKED","2006-11-02T00:00:00Z","98501013527098EUR","1855","","104423.42","","CRDT",""
"IE83ULSB98601000000000","126.91","EUR","DBIT","INTERIMBOOKED","2006-11-02T00:00:00Z","98501013527098EUR","1855","","104296.51","","CRDT",""
"IE83ULSB98601000000000","49.99","EUR","DBIT","INTERIMBOOKED","2006-11-02T00:00:00Z","98501013527098EUR","1855","","104246.52","","CRDT",""
"IE83ULSB98601000000000","29.97","EUR","DBIT","INTERIMBOOKED","2006-11-06T00:00:00Z","98501013527098EUR","1855","","104216.55","","CRDT",""
"IE83ULSB98601000000000","6.35","EUR","DBIT","INTERIMBOOKED","2006-11-08T00:00:00Z","98501013527098EUR","1855","","104210.2","","CRDT",""
"IE83ULSB98601000000000","35.65","EUR","DBIT","INTERIMBOOKED","2006-11-08T00:00:00Z","98501013527098EUR","1855","","104174.55","","CRDT",""
"IE83ULSB98601000000000","150","EUR","DBIT","INTERIMBOOKED","2006-11-08T00:00:00Z","98501013527098EUR","1855","","104024.55","","CRDT",""
"IE83ULSB98601000000000","620","EUR","DBIT","INTERIMBOOKED","2006-11-09T00:00:00Z","98501013527098EUR","1855","","103404.55","","CRDT",""
"IE83ULSB98601000000000","301.94","EUR","DBIT","INTERIMBOOKED","2006-11-10T00:00:00Z","98501013527098EUR","1855","","103102.61","","CRDT",""
"IE83ULSB98601000000000","200","EUR","DBIT","INTERIMBOOKED","2006-11-13T00:00:00Z","98501013527098EUR","1855","","102902.61","","CRDT",""
"IE83ULSB98601000000000","10.8","EUR","DBIT","INTERIMBOOKED","2006-11-14T00:00:00Z","98501013527098EUR","1855","","102891.81","","CRDT",""
"IE83ULSB98601000000000","40","EUR","DBIT","INTERIMBOOKED","2006-11-14T00:00:00Z","98501013527098EUR","1855","","102851.81","","CRDT",""
"IE83ULSB98601000000000","300","EUR","DBIT","INTERIMBOOKED","2006-11-14T00:00:00Z","98501013527098EUR","1855","","102551.81","","CRDT",""
"IE83ULSB98601000000000","1100","EUR","DBIT","INTERIMBOOKED","2006-11-14T00:00:00Z","98501013527098EUR","1855","","101451.81","","CRDT",""
"IE83ULSB98601000000000","3.75","EUR","DBIT","INTERIMBOOKED","2006-11-16T00:00:00Z","98501013527098EUR","1855","","101448.06","","CRDT",""
"IE83ULSB98601000000000","6819","EUR","DBIT","INTERIMBOOKED","2006-11-17T00:00:00Z","98501013527098EUR","1855","","94629.06","","CRDT",""
"IE83ULSB98601000000000","30000","EUR","DBIT","INTERIMBOOKED","2006-11-17T00:00:00Z","98501013527098EUR","1855","","64629.06","","CRDT",""
"IE83ULSB98601000000000","48.61","EUR","DBIT","INTERIMBOOKED","2006-11-21T00:00:00Z","98501013527098EUR","1855","","64580.45","","CRDT",""
"IE83ULSB98601000000000","29.99","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","64550.46","","CRDT",""
"IE83ULSB98601000000000","300","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","64250.46","","CRDT",""
"IE83ULSB98601000000000","200","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","64050.46","","CRDT",""
"IE83ULSB98601000000000","53","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","63997.46","","CRDT",""
"IE83ULSB98601000000000","1270.39","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","62727.07","","CRDT",""
"IE83ULSB98601000000000","80","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","62647.07","","CRDT",""
"IE83ULSB98601000000000","1864.58","EUR","DBIT","INTERIMBOOKED","2006-11-27T00:00:00Z","98501013527098EUR","1855","","60782.49","","CRDT",""
"IE83ULSB98601000000000","200","EUR","DBIT","INTERIMBOOKED","2006-11-28T00:00:00Z","98501013527098EUR","1855","","60582.49","","CRDT",""
"IE83ULSB98601000000000","468","EUR","DBIT","INTERIMBOOKED","2006-11-28T00:00:00Z","98501013527098EUR","1855","","60114.49","","CRDT",""
"IE83ULSB98601000000000","725.49","EUR","DBIT","INTERIMBOOKED","2006-11-28T00:00:00Z","98501013527098EUR","1855","","59389","","CRDT",""
"IE83ULSB98601000000000","129.55","EUR","DBIT","INTERIMBOOKED","2006-11-28T00:00:00Z","98501013527098EUR","1855","","59259.45","","CRDT",""
"IE83ULSB98601000000000","10606.71","EUR","CRDT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","69866.16","","CRDT",""
"IE83ULSB98601000000000","21.76","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","69844.4","","CRDT",""
"IE83ULSB98601000000000","7.15","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","69837.25","","CRDT",""
"IE83ULSB98601000000000","4000","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","65837.25","","CRDT",""
"IE83ULSB98601000000000","35000","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","30837.25","","CRDT",""
"IE83ULSB98601000000000","848.04","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","29989.21","","CRDT",""
"IE83ULSB98601000000000","962.64","EUR","DBIT","INTERIMBOOKED","2006-11-29T00:00:00Z","98501013527098EUR","1855","","29026.57","","CRDT",""
"IE83ULSB98601000000000","400","EUR","DBIT","INTERIMBOOKED","2006-11-30T00:00:00Z","98501013527098EUR","1855","","28626.57","","CRDT",""
"IE83ULSB98601000000000","1516.65","EUR","DBIT","INTERIMBOOKED","2006-11-30T00:00:00Z","98501013527098EUR","1855","","27109.92","","CRDT",""
"IE83ULSB98601000000000","74.63","EUR","DBIT","INTERIMBOOKED","2006-11-30T00:00:00Z","98501013527098EUR","1855","","27035.29","","CRDT",""
"IE83ULSB98601000000000","4029.69","EUR","DBIT","INTERIMBOOKED","2006-12-01T00:00:00Z","98501013527098EUR","1855","","23005.6","","CRDT",""
